행정동코드,시도명,시군구명,읍면동명,2020인구수,2019인구수,면적,2019인구밀도,2020인구밀도
2811062000,인천광역시,중구,영종동,15429,14955,31.59,473.40930674264007,488.41405508072177
2811062000,인천광역시,중구,영종동,15429,14955,31.59,473.40930674264007,488.41405508072177
2811062800,인천광역시,중구,운서동,29611,26989,58.11,464.44673894338325,509.568060574772
2811062800,인천광역시,중구,운서동,29611,26989,58.11,464.44673894338325,509.568060574772
2811062800,인천광역시,중구,운서동,29611,26989,58.11,464.44673894338325,509.568060574772
2811062800,인천광역시,중구,운서동,29611,26989,58.11,464.44673894338325,509.568060574772
2811062800,인천광역시,중구,운서동,29611,26989,58.11,464.44673894338325,509.568060574772
2811062800,인천광역시,중구,운서동,29611,26989,58.11,464.44673894338325,509.568060574772
2811063000,인천광역시,중구,용유동,4169,4325,38.45,112.48374512353705,108.42652795838751
2811063000,인천광역시,중구,용유동,4169,4325,38.45,112.48374512353705,108.42652795838751
2811063000,인천광역시,중구,용유동,4169,4325,38.45,112.48374512353705,108.42652795838751
2811063000,인천광역시,중구,용유동,4169,4325,38.45,112.48374512353705,108.42652795838751
2811063000,인천광역시,중구,용유동,4169,4325,38.45,112.48374512353705,108.42652795838751
2811063000,인천광역시,중구,용유동,4169,4325,38.45,112.48374512353705,108.42652795838751
3014053500,대전광역시,중구,은행선화동,17060,17627,1.48,11910.135135135135,11527.027027027027
3014053500,대전광역시,중구,은행선화동,17060,17627,1.48,11910.135135135135,11527.027027027027
3014053500,대전광역시,중구,은행선화동,17060,17627,1.48,11910.135135135135,11527.027027027027
3014053500,대전광역시,중구,은행선화동,17060,17627,1.48,11910.135135135135,11527.027027027027
3014053500,대전광역시,중구,은행선화동,17060,17627,1.48,11910.135135135135,11527.027027027027
3014053500,대전광역시,중구,은행선화동,17060,17627,1.48,11910.135135135135,11527.027027027027
3014056000,대전광역시,중구,중촌동,13751,14120,1.2,11766.666666666668,11459.166666666668
3014056000,대전광역시,중구,중촌동,13751,14120,1.2,11766.666666666668,11459.166666666668
3014056000,대전광역시,중구,중촌동,13751,14120,1.2,11766.666666666668,11459.166666666668
3014056000,대전광역시,중구,중촌동,13751,14120,1.2,11766.666666666668,11459.166666666668
3014056000,대전광역시,중구,중촌동,13751,14120,1.2,11766.666666666668,11459.166666666668
3014056000,대전광역시,중구,중촌동,13751,14120,1.2,11766.666666666668,11459.166666666668
3014057500,대전광역시,중구,대흥동,14151,14058,1.2,11715.0,11792.5
3014057500,대전광역시,중구,대흥동,14151,14058,1.2,11715.0,11792.5
3014057500,대전광역시,중구,대흥동,14151,14058,1.2,11715.0,11792.5
3014057500,대전광역시,중구,대흥동,14151,14058,1.2,11715.0,11792.5
3014057500,대전광역시,중구,대흥동,14151,14058,1.2,11715.0,11792.5
3014057500,대전광역시,중구,대흥동,14151,14058,1.2,11715.0,11792.5
3014060500,대전광역시,중구,문창동,4779,4849,0.46,10541.304347826086,10389.130434782608
3014060500,대전광역시,중구,문창동,4779,4849,0.46,10541.304347826086,10389.130434782608
3014060500,대전광역시,중구,문창동,4779,4849,0.46,10541.304347826086,10389.130434782608
3014060500,대전광역시,중구,문창동,4779,4849,0.46,10541.304347826086,10389.130434782608
3014060500,대전광역시,중구,문창동,4779,4849,0.46,10541.304347826086,10389.130434782608
3014060500,대전광역시,중구,문창동,4779,4849,0.46,10541.304347826086,10389.130434782608
3014063000,대전광역시,중구,대사동,5532,5576,2.02,2760.39603960396,2738.6138613861385
3014063000,대전광역시,중구,대사동,5532,5576,2.02,2760.39603960396,2738.6138613861385
3014063000,대전광역시,중구,대사동,5532,5576,2.02,2760.39603960396,2738.6138613861385
3014063000,대전광역시,중구,대사동,5532,5576,2.02,2760.39603960396,2738.6138613861385
3014063000,대전광역시,중구,대사동,5532,5576,2.02,2760.39603960396,2738.6138613861385
3014063000,대전광역시,중구,대사동,5532,5576,2.02,2760.39603960396,2738.6138613861385
3014064000,대전광역시,중구,부사동,6905,7150,1.14,6271.929824561404,6057.01754385965
3014064000,대전광역시,중구,부사동,6905,7150,1.14,6271.929824561404,6057.01754385965
3014064000,대전광역시,중구,부사동,6905,7150,1.14,6271.929824561404,6057.01754385965
3014064000,대전광역시,중구,부사동,6905,7150,1.14,6271.929824561404,6057.01754385965
3014064000,대전광역시,중구,부사동,6905,7150,1.14,6271.929824561404,6057.01754385965
3014064000,대전광역시,중구,부사동,6905,7150,1.14,6271.929824561404,6057.01754385965
3014065500,대전광역시,중구,용두동,10022,10129,0.8,12661.25,12527.5
3014065500,대전광역시,중구,용두동,10022,10129,0.8,12661.25,12527.5
