행정동코드,시도명,시군구명,읍면동명,면적(km^2),2020인구수,2019인구수,인구밀도
1111000000,서울특별시,종로구,,23913.28,150936,152495,6.377000562030805
1111051500,서울특별시,종로구,청운효자동,23913.28,12711,12911,0.5399092052616788
1111053000,서울특별시,종로구,사직동,23913.28,9509,9483,0.3965578958637209
1111054000,서울특별시,종로구,삼청동,23913.28,2734,2800,0.1170897509668268
1111055000,서울특별시,종로구,부암동,23913.28,10144,10093,0.4220667344672082
1111056000,서울특별시,종로구,평창동,23913.28,18573,18757,0.7843758781731323
1111057000,서울특별시,종로구,무악동,23913.28,8690,8613,0.36017643752759976
1111058000,서울특별시,종로구,교남동,23913.28,10563,10654,0.445526502428776
1111060000,서울특별시,종로구,가회동,23913.28,4351,4385,0.18337091356769128
1111064000,서울특별시,종로구,이화동,23913.28,7786,8008,0.3348766877651247
1111065000,서울특별시,종로구,혜화동,23913.28,16916,17029,0.7121147747193192
1114000000,서울특별시,중구,,9959.983,126126,125913,12.641889047400984
1114000000,서울특별시,중구,,2825.782,126126,125913,44.558638989136455
1114000000,서울특별시,중구,,7055.185,126126,125913,17.846874320092244
1114000000,서울특별시,중구,,140286.9,126126,125913,0.8975392570510861
1114000000,서울특별시,중구,,62179.185,126126,125913,2.025002418413815
1114000000,서울특별시,중구,,37010.509,126126,125913,3.402087769179289
1114052000,서울특별시,중구,소공동,9959.983,2117,2075,0.20833368892296303
1114052000,서울특별시,중구,소공동,2825.782,2117,2075,0.7343100069290553
1114052000,서울특별시,중구,소공동,7055.185,2117,2075,0.2941099347501164
1114052000,서울특별시,중구,소공동,140286.9,2117,2075,0.014791117345953186
1114052000,서울특별시,중구,소공동,62179.185,2117,2075,0.0333712961982374
1114052000,서울특별시,중구,소공동,37010.509,2117,2075,0.05606515706120119
1114054000,서울특별시,중구,회현동,9959.983,5219,5345,0.5366475023099939
1114054000,서울특별시,중구,회현동,2825.782,5219,5345,1.891511800981109
1114054000,서울특별시,중구,회현동,7055.185,5219,5345,0.7575988439707817
1114054000,서울특별시,중구,회현동,140286.9,5219,5345,0.03810049263331074
1114054000,서울특별시,중구,회현동,62179.185,5219,5345,0.0859612424961826
1114054000,서울특별시,중구,회현동,37010.509,5219,5345,0.14441844071909415
1114055000,서울특별시,중구,명동,9959.983,2975,2801,0.28122537960155153
1114055000,서울특별시,중구,명동,2825.782,2975,2801,0.9912300382690525
1114055000,서울특별시,중구,명동,7055.185,2975,2801,0.3970129769807595
1114055000,서울특별시,중구,명동,140286.9,2975,2801,0.019966226354705963
1114055000,서울특별시,중구,명동,62179.185,2975,2801,0.04504722922952432
1114055000,서울특별시,중구,명동,37010.509,2975,2801,0.07568120719442145
1114057000,서울특별시,중구,필동,9959.983,3948,4060,0.4076312178444481
1114057000,서울특별시,중구,필동,2825.782,3948,4060,1.4367704231961276
